user_id,email,password_hash,user_name,gender,birthdate,phone_number,created_at
1001,jimingo@example.com,45bed314a7e9d9a632d93706603e7245354e973112afe221c599568ff8010c8d,이현준,MALE,1988-10-21,051-627-1995,2025-08-17 07:37:08
1002,igim@example.com,f60432cdafffeac9e183e5d8ce69206ca13047e5660b4e2f9ee5806f18aa9dc8,김재현,MALE,1995-04-04,032-584-2128,2025-08-15 01:03:15
1003,gimjihyeon@example.net,34af2073cbdce75f64bc8614abb77728976c9e8aec0670ccb8f20f56ad4db2a2,장지현,FEMALE,2001-08-17,042-609-7610,2025-08-17 07:49:15
1004,songjeongho@example.net,d86efd8bb61af8bdad970c2e6f448bc817ba1a11c4ce78a3ad126728a2fc4585,박도현,MALE,1993-11-26,031-589-1506,2025-08-10 09:56:57
1005,kgim@example.net,e8b97387c94ec5658ec93e9c2ba300dedbbadcea54a3a10e93443fe4b8bc8fa2,남영환,MALE,1998-01-25,019-436-9025,2025-08-17 01:46:35
1006,phong@example.org,961eb3f680404cbc6e7ff1b81b309cd2d7503adeed0f44c0566ad4970a6c77f8,송도현,MALE,1998-05-17,017-517-6658,2025-08-16 20:45:04
1007,ei@example.com,621b833ff258a6f3ab72aabb5c53cf0bba771fbf28f204e513c601e665113bd7,송채원,MALE,1988-12-06,053-793-7526,2025-08-14 22:30:08
1008,hyeonu24@example.net,2b8800aa35196724dc77b4d91e2ff842fb0be7bc8728816c31e240aab7dc19a3,이지원,MALE,2001-12-19,070-2326-9032,2025-08-20 18:32:05
1009,eunjeong24@example.com,7e307fcd07f24e6afb833035e9f4b820d44ae0275e81ed6dfd0f27a6ef875f63,이서현,MALE,1994-02-12,062-115-7485,2025-08-14 07:39:00
1010,jaehyeongim@example.net,697baf7476d5ba17d4d0947843a40e6ecfa574f9e1f79e53bb8315c4dd404a06,이광수,MALE,2004-03-25,061-865-0958,2025-08-10 01:22:52
1011,hyeonujang@example.com,0374f0b8ce08b8986231143f740d6303bc0f3efdbac8435174d39698ef327b6d,김순자,MALE,2003-06-04,031-434-3330,2025-08-10 10:35:25
1012,caseonghyeon@example.com,0528adeadffab130ee938507e43dd1a3ac6dd75381a43478d6e45fc2fc09fa1f,안수진,MALE,1996-01-16,031-321-3093,2025-08-13 21:41:51
1013,si@example.com,c36e72b9472de8a5f1461b636272c540b26a84c7136f2a358096a9506e1e31fa,김영길,MALE,1988-11-20,064-796-5360,2025-08-20 16:03:59
1014,myeongsug88@example.org,e65334f6a16908284daf1400c9a27af8cc35e32e339be8928dd9278208eabe63,김예은,MALE,1986-09-30,054-736-0332,2025-08-21 06:38:57
