order_id,user_id,order_date,total_amount,status,shipping_address,used_coupon_code
1,958,2025-07-17 19:00:43,615800.0,COMPLETED,대구광역시 영등포구 논현로 지하481 (지현이읍),SUMMER25
2,373,2025-03-31 18:09:20,855900.0,COMPLETED,경기도 서천군 언주3로 401 (준서이김마을),
3,108,2025-01-21 01:40:54,436600.0,COMPLETED,대구광역시 용산구 강남대거리 154-33 (숙자김동),
4,72,2025-05-03 19:47:08,424400.0,COMPLETED,광주광역시 중구 도산대길 661 (채원김면),SUMMER25
5,974,2024-07-20 17:38:51,373000.0,COMPLETED,제주특별자치도 강릉시 선릉530거리 676 (서영김강리),SUMMER25
6,717,2025-05-23 01:24:07,562400.0,COMPLETED,세종특별자치시 노원구 서초대675거리 지하24 (서연이면),NEW15
7,846,2024-01-09 22:47:42,964700.0,COMPLETED,전라북도 수원시 팔달구 논현로 115 (중수김김리),
8,335,2024-12-29 03:19:50,259500.0,PENDING,강원도 평택시 강남대가 384,
9,975,2024-08-08 14:33:39,62700.0,COMPLETED,부산광역시 남구 서초대가 718 (민수이면),
10,663,2025-04-01 18:30:53,393000.0,SHIPPED,인천광역시 강북구 선릉길 491,
11,942,2025-06-09 08:18:20,1018300.0,COMPLETED,경기도 인제군 논현거리 407-56,
12,162,2023-05-14 19:38:34,327700.0,COMPLETED,대구광역시 노원구 서초중앙617길 361 (정숙이손읍),SUMMER25
13,185,2024-01-02 23:08:56,803800.0,COMPLETED,부산광역시 관악구 양재천길 지하568,NEW15
14,183,2024-04-08 22:36:55,496900.0,COMPLETED,충청북도 원주시 논현가 926 (미숙김김면),SUMMER25
15,599,2025-07-23 10:34:35,519600.0,PENDING,부산광역시 남구 압구정45로 411-5,
16,486,2025-06-01 07:52:17,980100.0,COMPLETED,세종특별자치시 남구 삼성로 695,
17,129,2025-07-13 22:27:36,692500.0,COMPLETED,제주특별자치도 횡성군 석촌호수가 227-19 (영진송마을),
18,685,2025-04-24 04:00:54,591100.0,SHIPPED,부산광역시 북구 테헤란로 지하969 (준혁고읍),
19,634,2022-04-15 15:11:12,158800.0,COMPLETED,경상북도 가평군 테헤란로 989,
20,467,2024-04-17 16:01:10,667300.0,COMPLETED,충청남도 고양시 양재천길 866,
21,833,2025-05-25 04:52:22,699300.0,COMPLETED,경상북도 태안군 논현50길 789 (경자김리),
22,732,2025-05-16 19:47:49,1245400.0,PENDING,부산광역시 용산구 선릉길 240-84,
23,843,2022-01-17 15:39:57,716200.0,COMPLETED,인천광역시 종로구 역삼1가 518,
24,978,2023-06-21 05:22:50,392300.0,COMPLETED,광주광역시 동작구 압구정78거리 480,
25,49,2025-08-01 19:15:06,511500.0,COMPLETED,강원도 청주시 상당구 역삼8가 150,
26,879,2025-04-05 15:59:44,21000.0,COMPLETED,세종특별자치시 중랑구 석촌호수4로 741,
27,651,2022-10-28 14:35:59,989400.0,COMPLETED,강원도 양양군 도산대97길 239-65 (현정박리),NEW15
28,304,2025-01-20 13:42:01,778700.0,SHIPPED,경상북도 철원군 반포대길 131,SUMMER25
29,800,2025-03-14 08:58:37,542200.0,COMPLETED,대구광역시 마포구 역삼거리 124 (영자허면),
30,401,2025-06-30 20:16:28,181200.0,SHIPPED,충청북도 안산시 단원구 개포길 620-50,
31,72,2025-01-14 05:42:28,1119800.0,PENDING,전라북도 김포시 오금034길 77-79 (미정김마을),SUMMER25
32,785,2023-10-20 22:54:42,624900.0,COMPLETED,부산광역시 강서구 서초중앙가 442,
33,348,2023-09-14 05:08:19,851900.0,COMPLETED,충청남도 안산시 상록구 가락길 631-71 (현주최백읍),
34,446,2025-02-11 10:03:28,893700.0,COMPLETED,울산광역시 성동구 석촌호수399거리 539,SUMMER25
35,804,2025-02-03 00:15:54,339600.0,SHIPPED,전라남도 청주시 상당구 봉은사417가 지하216,NEW15
36,768,2022-11-11 09:24:09,843600.0,SHIPPED,경기도 옥천군 서초대305거리 766 (영자김면),
37,27,2024-04-12 12:31:13,321100.0,COMPLETED,제주특별자치도 광주시 강남대로 719-63,SUMMER25
38,542,2024-12-01 20:52:43,537100.0,COMPLETED,전라북도 과천시 봉은사로 371-4 (선영이면),
39,629,2024-11-22 01:08:09,1156500.0,SHIPPED,제주특별자치도 수원시 영통구 압구정거리 112,SUMMER25
40,414,2025-07-31 23:32:26,142000.0,COMPLETED,충청남도 수원시 장안구 도산대61거리 722 (성현이읍),
41,165,2025-05-07 22:44:14,335300.0,SHIPPED,대전광역시 송파구 압구정92거리 631-27,
42,805,2024-10-07 12:29:15,50800.0,COMPLETED,경상북도 부여군 석촌호수476로 143,
43,140,2025-08-07 08:15:22,811000.0,COMPLETED,인천광역시 관악구 양재천길 441,NEW15
44,716,2024-05-13 10:59:44,138600.0,COMPLETED,전라남도 강릉시 삼성36길 지하293 (선영김김면),SUMMER25
45,479,2024-02-28 06:37:47,388700.0,COMPLETED,강원도 시흥시 도산대923길 194,
46,330,2021-07-12 23:03:18,683300.0,COMPLETED,세종특별자치시 용산구 강남대9거리 203-25 (은영안리),
47,533,2024-04-16 05:41:43,598200.0,COMPLETED,전라남도 춘천시 영동대거리 926-94 (옥순장이면),
